,X_Max,Y_Max,Dist_Max,X_Min,Y_Min,Dist_Min,X_Mean,Y_Mean,Dist_Mean,X_Var,Y_Var,Dist_Var,Answer
0,11792.331271701387,44817.35229492187,26666.66666666666,22.705586222034334,7.650513962478373,-17777.777777777774,1712.4679236274333,5685.012858684742,-96.03595996497788,12932396.056742422,193311376.47860208,123600002.29937023,password
1,11792.331271701387,6387.074788411457,26666.66666666666,1.7064770416636739,4.054252802041439,-17777.777777777774,1693.514222373266,1203.6830544727604,795.1511190991474,13000061.447906772,4434724.566122892,114128642.13523842,password
2,11792.331271701387,6387.074788411457,26666.66666666666,1.7064770416636739,4.054252802041439,-17777.777777777774,1854.7127978274443,1267.5791986654176,613.458143658082,12706468.742036749,4475377.175304975,114886505.82623115,password
3,1760.5165289046238,3417.205810546874,1385.0415512465374,1.7064770416636739,4.054252802041439,-17777.777777777774,696.6639561390764,650.5964207520062,-2053.208523008584,543356.4664819059,1262853.3011069864,31608233.09729141,password
4,1760.5165289046238,3417.205810546874,1385.0415512465374,1.7064770416636739,4.054252802041439,-17777.777777777774,731.8055205354975,656.8321930266173,-1845.0919777432355,503074.7587265244,1256794.3641331717,32028428.506725635,password
5,1760.5165289046238,3417.205810546874,1385.0415512465374,1.7064770416636739,4.054252802041439,-17777.777777777774,791.6494476612241,751.4770689556074,-1845.0919777432355,452242.4652401058,1215636.3549073483,32028428.506725635,password
6,1760.5165289046238,3417.205810546874,22.981901752370003,1.7064770416636739,4.054252802041439,-17777.777777777774,635.3263159074183,686.9197055090922,-1983.5961328678889,409615.400662504,1270934.1449194935,31226069.37132127,password
7,1760.5165289046238,3417.205810546874,22.981901752370003,1.7064770416636739,4.054252802041439,-17777.777777777774,711.3324347214298,728.2438779745387,-2858.5961328678886,400087.1586071246,1225632.7122813961,35025326.890744805,password
8,2457.1224134794065,17395.16550180863,22.981901752370003,1.7064770416636739,4.054252802041439,-8750.0,806.3047943418894,2126.0398471007147,-1591.0224367227645,658294.2112272771,29116457.64863156,9067952.706559556,password
9,2457.1224134794065,17395.16550180863,22.981901752370003,1.7064770416636739,4.054252802041439,-8750.0,695.7089275838733,2150.1974284662433,-1591.0224367227645,670659.8737976481,29008901.19642868,9067952.706559554,password
10,41913.276861521816,17395.16550180863,1867768.5950413218,1.7064770416636739,4.054252802041439,-8750.0,4859.653830661331,3200.161416521055,185185.83706740942,170151276.67049477,35313734.2392415,349525389690.8181,password
11,41913.276861521816,17395.16550180863,1867768.5950413218,54.58073611065946,10.955842302939644,-8750.0,7035.338819553845,3664.7008307183896,191683.53887723418,193999854.74808264,34172330.13590079,347273962047.5294,password
12,41913.276861521816,17395.16550180863,1867768.5950413218,54.58073611065946,10.955842302939644,-8750.0,8207.175045926711,3605.1445856272267,198539.8548684829,193995794.27834317,34449106.380607784,344791803757.6111,password
13,41913.276861521816,17395.16550180863,1867768.5950413218,54.58073611065946,10.955842302939644,-99199.99999999999,8445.365760444944,5182.205285090116,188619.8548684829,190331111.58225718,47447155.05302941,350152568558.26733,password
14,41913.276861521816,17395.16550180863,1867768.5950413218,54.58073611065946,10.955842302939644,-99199.99999999999,8440.506371603207,5188.340968533426,188725.96890986737,190418506.19798806,47380249.647117004,350108202904.4197,password
15,56478.95749935433,17395.16550180863,1867768.5950413218,54.58073611065946,10.955842302939644,-99199.99999999999,14020.531057590963,5569.192481631544,195337.53915780125,405538568.2872936,45270484.04645693,347772498180.1712,password
16,56478.95749935433,17395.16550180863,1867768.5950413218,147.71327656122807,255.37801421109035,-99199.99999999999,14851.408641518432,5822.48083800369,193672.60679567844,386655488.1923303,42783508.13296512,348522937712.27844,password
17,56478.95749935433,17395.16550180863,1867768.5950413218,147.71327656122807,255.37801421109035,-99199.99999999999,15301.067571820098,5958.0376699596,193180.41929567844,374833459.1241127,41340104.150837615,348746759923.81274,password
18,56478.95749935433,15987.854003906246,1867768.5950413218,147.71327656122807,255.37801421109035,-99199.99999999999,15214.837356518252,4253.003420465735,192896.97258366033,377369007.0829313,27076645.027770665,348872457813.90845,password
19,56478.95749935433,15987.854003906246,1867768.5950413218,325.52734176889567,309.0111943897965,-140625.0,17818.527876167427,4627.673555808389,178834.47258366033,357982987.80323684,25151998.01536825,356878027269.6479,password
20,56478.95749935433,15987.854003906246,66481.99445983379,325.52734176889567,309.0111943897965,-140625.0,14001.563589954108,3670.1057588263393,-9327.428471718382,299300048.39802235,21554873.94304432,4720247937.541741,password
21,56478.95749935433,15987.854003906246,66481.99445983379,325.52734176889567,309.0111943897965,-140625.0,12189.950014849364,3248.1864174363227,-17908.593924371868,300891322.7085848,22416803.027312424,4039243139.719695,password
22,56478.95749935433,15987.854003906246,66115.70247933883,325.52734176889567,309.0111943897965,-140625.0,11340.902277080895,3370.262414799696,-27678.541549335474,305668227.6232998,22022635.426663745,3161558286.6571236,password
23,56478.95749935433,4790.203630431858,66115.70247933883,325.52734176889567,309.0111943897965,-140625.0,11406.902645298247,1919.1366472254238,-22755.254238355858,304428865.284591,2392045.8494418985,2621455446.448514,password
24,56478.95749935433,4790.203630431858,66115.70247933883,1594.820260460955,344.8230068699843,-957336.1082206034,11960.177852698329,2121.285347208758,-118594.97910180068,293865443.792853,2077387.3360451986,89401635819.44293,password
25,26184.61847305298,4002.0793676376343,-7936.5079365079355,1594.820260460955,344.8230068699843,-957336.1082206034,6761.749502749076,1958.0969098584133,-127703.94789291875,49818269.73214674,1375832.876771578,86492427090.68803,password
26,26184.61847305298,4002.0793676376343,-4155.124653739612,1594.820260460955,344.8230068699843,-957336.1082206034,6174.36246814921,2021.6431538289987,-126454.52799616991,51177920.062995896,1498929.095922167,86816379496.34087,password
27,26184.61847305298,4825.687408447195,-4155.124653739612,1594.820260460955,344.8230068699843,-957336.1082206034,5950.440632726702,2326.565838856114,-126837.34049616991,52018111.679887414,2262570.3446115823,86721901374.10889,password
28,26184.61847305298,4825.687408447195,-190.24970273483942,136.58521291616577,162.38091249953547,-957336.1082206034,5804.617127972223,2308.321629419069,-126062.71467279262,53642205.13208466,2346244.0370072257,86932576615.37527,password
29,5858.279415769705,8960.152267789492,-190.24970273483942,136.58521291616577,162.38091249953547,-957336.1082206034,3351.707584683737,2804.128919434255,-113873.26358018075,2720302.3152402383,6670664.801170134,88023945428.56111,password
30,5858.279415769705,8960.152267789492,-190.24970273483942,136.58521291616577,162.38091249953547,-957336.1082206034,3080.7419312329066,2727.4953433952187,-112696.33857419956,3218529.2863735845,7027861.500838601,88299395600.05891,password
31,5858.279415769705,8960.152267789492,1385.0415512465374,136.58521291616577,162.38091249953547,-957336.1082206034,2801.7018200255457,2702.602866104961,-110476.66896642144,3648872.2733138124,7161133.418549048,88801895244.18231,password
32,10370.260470863801,8960.152267789492,22892.81997918834,136.58521291616577,162.38091249953547,-957336.1082206034,3339.8877256170645,3180.390721493431,-105065.63878952237,9160537.189199172,9193382.942643188,90047740727.95586,password
33,10370.260470863801,8960.152267789492,22892.81997918834,80.66075312368979,112.36533307390118,-957336.1082206034,3022.578432712081,3043.967621984469,-100094.94931899582,10228124.912660258,9896022.034692975,90903435139.279,password
34,10370.260470863801,23164.11861703415,22892.81997918834,80.66075312368979,112.36533307390118,-24973.985431841826,2789.893726018568,5127.3296642655705,-6840.677339910665,9303270.525476785,49996851.30658984,219471598.6005149,password
35,10370.260470863801,23164.11861703415,22892.81997918834,80.66075312368979,112.36533307390118,-24793.38842975206,2928.195178743112,5644.267758342397,-6296.403796726483,10018484.75139768,50407197.932809204,200501758.0656269,password
