,Unnamed: 0,X_Max,Y_Max,Dist_Max,X_Min,Y_Min,Dist_Min,X_Mean,Y_Mean,Dist_Mean,X_Var,Y_Var,Dist_Var,Answer,subject
0,0,962.7267718315125,1174.0252375602722,39062.5,31.933112245480267,169.9476889923073,-29218.407596785964,335.28155541851106,691.5101126716107,-234.2641316682988,89726.04740046644,96473.9043935028,400093019.3961409,password,5
1,1,962.7267718315125,1387.7598725794255,39062.5,31.933112245480267,169.9476889923073,-29218.407596785964,398.6292059727632,788.9130258748353,-467.9887674643445,95064.5989325496,131221.57923673588,402546477.1381966,password,5
2,2,962.7267718315125,1387.7598725794255,39062.5,3.483105611418005,169.9476889923073,-29218.407596785964,353.3638991777049,776.8853859446263,-7.669630091462932,109769.47774554529,139950.02976078822,409401913.6816932,password,5
3,3,962.7267718315125,1387.7598725794255,39062.5,3.483105611418005,396.1962970875752,-29218.407596785964,324.0678489118083,889.6313022699285,-2059.2355541236034,122029.81410005332,115000.34225164707,464776950.39099,password,5
4,4,962.7267718315125,1387.7598725794255,39062.5,3.483105611418005,396.1962970875752,-29218.407596785964,331.11372575517254,954.0266471103048,-2683.5851899196487,119032.70457230252,131748.9860050512,474480501.088068,password,5
5,5,962.7267718315125,1387.7598725794255,39062.5,3.483105611418005,396.1962970875752,-29218.407596785964,386.1966273164066,1037.0037292035422,1265.607879839299,125546.77361322795,115017.95239817796,499727508.1210156,password,5
6,6,962.7267718315125,1635.3093087672078,39062.5,3.483105611418005,396.1962970875752,-29218.407596785964,368.67922930488766,1116.8063741507524,-1221.0954620160696,135571.21823391414,143284.23231532532,495900689.9531753,password,5
7,7,721.6168740041297,1635.3093087672078,39062.5,3.483105611418005,196.0143090287993,-29218.407596785964,330.3097664960165,1019.0052812976052,2825.9990359027643,99641.6303526018,226499.06467410023,512582774.8252008,password,5
8,8,721.6168740041297,1635.3093087672078,39062.5,3.483105611418005,196.0143090287993,-29218.407596785964,269.12712817640283,1045.7001186800796,260.42935289135875,86910.62398374463,239520.8384507949,487728525.10864,password,5
9,9,721.6168740041297,1635.3093087672078,39062.5,3.483105611418005,196.0143090287993,-23437.5,280.7162650446618,1048.409103525691,1933.570840977864,82145.096217356,237411.59185007308,406117515.8978866,password,5
10,10,1340.1456231505265,1898.33784946914,22892.81997918834,3.483105611418005,196.0143090287993,-23437.5,377.4481220527076,1158.7098032455924,-1348.329523226091,195515.72354443296,297041.3505540098,243040780.06017908,password,5
11,11,1355.1421442850806,1898.33784946914,22892.81997918834,3.483105611418005,196.0143090287993,-23437.5,440.80064908080266,1072.450626439168,-308.4674220560837,284104.3951533953,327541.87210236106,242542137.57613257,password,5
12,12,4457.717879629898,3112.5309812166684,22892.81997918834,3.911554813496032,196.0143090287993,-35379.812695109256,886.2241264826505,1344.0840948520774,-4723.000919470588,1835255.1352699024,657181.9303648111,348406683.15038145,password,5
13,13,4457.717879629898,3112.5309812166684,22892.81997918834,32.335519790649414,196.0143090287993,-35379.812695109256,1304.1234668737986,1451.1042345462913,-230.81341947058823,2762280.740664897,760614.1333124689,363384082.1945757,password,5
14,14,4457.717879629898,3112.5309812166684,22892.81997918834,32.335519790649414,196.0143090287993,-35379.812695109256,1654.966272616104,1466.9150229965642,1456.1619660732922,3110061.48231508,759942.734198574,345896557.72238666,password,5
15,15,4663.854434264437,3630.134987409355,22892.81997918834,32.335519790649414,196.0143090287993,-35379.812695109256,2052.623076118048,1697.962009574339,513.4806679064363,3836249.737677984,1218166.1765225057,311927397.6876095,password,5
16,16,5373.954772949219,4136.078059673309,22892.81997918834,87.44216031322797,196.0143090287993,-35379.812695109256,2586.7850014339047,1948.038884664949,-72.45683209356393,4291404.493850503,1808732.851887053,331288008.9088418,password,5
17,17,5386.720355015064,4136.078059673309,21484.375,87.44216031322797,525.1681045151813,-35379.812695109256,3067.553822561131,2183.250314355454,-316.4502982373804,4457757.810848973,1446207.6733725022,319431387.04596853,password,5
18,18,7103.16002368927,4136.078059673309,21484.375,147.8244809280697,525.1681045151813,-35379.812695109256,3769.125608898735,2422.2933697517847,962.0079773858884,4733649.163878813,1593766.753850656,317000341.1960401,password,5
19,19,7103.16002368927,4136.078059673309,21484.375,1340.1456231505265,525.1681045151813,-35379.812695109256,4454.389727899125,2560.194080477916,1586.357613181934,3914967.787119428,1259276.0813774443,302238735.46281147,password,5
20,20,7103.16002368927,4136.078059673309,21484.375,1355.1421442850806,525.1681045151813,-35379.812695109256,4739.90269729917,2545.4657673126976,523.731863434099,2754239.7178905,1283107.5931102578,302533146.8578608,password,5
21,21,7103.16002368927,4136.078059673309,21484.375,3679.8314163508103,1518.9544922945006,-110301.76899063474,5188.215792374922,2729.9940861667937,-10921.957501003337,1392013.8531388117,795165.4170328139,1520207210.822946,password,5
22,22,7103.16002368927,4136.078059673309,21484.375,3679.8314163508103,1518.9544922945006,-128906.25,5269.103195066687,2739.0693875841207,-20274.60123149241,1326134.7304283415,803703.7782705806,2903250227.300544,password,5
23,23,7103.16002368927,4136.078059673309,20452.885317750177,3679.8314163508103,981.9014042811812,-128906.25,5233.430457366213,2600.498703093492,-31042.468972544262,1424966.094302667,1110107.955848799,3063486355.160755,password,5
24,24,7103.16002368927,4136.078059673309,20452.885317750177,3513.1722688674927,981.9014042811812,-720703.125,5216.7645426178815,2618.252974055997,-103551.05758649606,1485281.730714771,1070588.9217196675,49930366279.14466,password,5
25,25,7103.16002368927,4136.078059673309,20452.885317750177,3513.1722688674927,981.9014042811812,-720703.125,5187.461633965598,2550.4756083307884,-106256.57267494558,1529872.5005985105,964120.640788797,49305913962.68858,password,5
26,26,7103.16002368927,3775.767982006073,20452.885317750177,2379.1561865127364,981.9014042811812,-720703.125,4887.9817753219495,2283.375583833175,-105375.31240284916,2302641.160373317,736401.6414393592,49487344143.64281,password,5
27,27,7103.16002368927,3775.767982006073,5859.375,2379.1561865127364,981.9014042811812,-720703.125,4659.33584903904,2288.2452593649737,-107615.91343462418,2572020.657482224,739503.8039787499,48911034207.61392,password,5
28,28,7000.465670931971,3203.2839953899384,-1953.125,2223.8772071735166,981.9014042811812,-720703.125,4171.407567387465,2197.3780908225995,-109658.66675148162,2302958.6707353336,521701.1650592991,48437647014.67995,password,5
29,29,5838.273095042598,3203.2839953899384,-1953.125,2223.8772071735166,981.9014042811812,-720703.125,3695.539250414109,2191.7861079296194,-109326.50119165344,1575778.2920513046,523357.7653961558,48515085816.42349,password,5
30,30,5838.273095042598,3203.2839953899384,-1953.125,2223.8772071735166,759.2327892780304,-720703.125,3579.146040865465,2092.6039150757274,-109278.85007770165,1581994.56270894,718868.1852579303,48526221158.522896,password,5
31,31,5266.591906547546,3203.2839953899384,-1953.125,2223.8772071735166,759.2327892780304,-720703.125,3246.064617807604,2093.610185374204,-99913.60554076098,1019264.1197407,719499.6211992246,49382010575.86524,password,5
32,32,4370.825347741609,2952.361330157269,0.0,908.2824840782504,356.78147398876905,-720703.125,2810.233675560674,1808.959933234087,-87022.98054076098,961842.861745469,827826.3264907394,50213174243.69953,password,5
33,33,4370.825347741609,2952.361330157269,0.0,194.90718841552732,356.78147398876905,-720703.125,2447.1066362302035,1765.0342339385145,-78598.86279970911,1460640.433631147,927852.3842826212,50938344912.2697,password,5
34,34,4370.825347741609,2952.361330157269,0.0,194.90718841552732,356.78147398876905,-16649.323621227886,2201.005190532482,1663.0547027535747,-6736.666844974456,1483276.7751524693,1047382.5751876236,40047400.84178427,password,5
35,35,3100.261092185974,2867.0962965823355,0.0,194.90718841552732,356.78147398876905,-16649.323621227886,1865.6850693015103,1418.2051755126206,-5279.851028117016,990818.4829209612,945370.7780034248,35917100.90690612,password,5
36,36,3100.261092185974,2867.0962965823355,3906.25,12.367963791004575,19.669532775878903,-16649.323621227886,1629.0062470293371,1273.6643473204915,-4012.673800213436,1280925.4891705464,1139235.7101763447,42159008.32469688,password,5
37,37,3031.34322166454,2867.0962965823355,6243.496357960456,12.367963791004575,19.669532775878903,-16649.323621227886,1322.560634099611,1145.22565686998,-3193.011664417391,1218104.4197874025,926544.9758127406,52628877.756294526,password,5
38,38,3031.34322166454,2380.5139960409074,6243.496357960456,12.367963791004575,19.669532775878903,-16649.323621227886,1115.2310755615415,885.2871769411049,-1590.1038095760214,1232694.1733378463,607601.9165767723,37803543.264117,password,5
39,39,3031.34322166454,2427.846193313598,7812.5,12.367963791004575,19.669532775878903,-16649.323621227886,961.319251051289,924.740629858083,-516.6697336081616,1084272.480968824,723819.9550550272,46149413.03534981,password,5
40,40,2943.0726812483736,2427.846193313598,7812.5,12.367963791004575,19.669532775878903,-16649.323621227886,952.4921970096726,938.2146424174192,-542.2778241388587,1044446.7310081492,720679.7680380871,46348861.17462904,password,5
41,41,2943.0726812483736,3566.101051926873,7812.5,12.367963791004575,19.669532775878903,-4162.330905306972,936.9478933221312,1056.7733480060156,976.5625,993149.9312174232,1241235.0890506783,15053107.900553282,password,5
42,42,6236.359477043152,3566.101051926873,7812.5,12.367963791004575,19.669532775878903,-17578.125,1469.7555926186212,1310.1646892517383,-781.25,3798050.0405166703,1489147.0743041048,49766853.01774078,password,5
43,43,6236.359477043152,3566.101051926873,7812.5,12.367963791004575,19.669532775878903,-17578.125,1942.7855584073243,1605.879867076903,-1626.520226326743,4695531.310244017,1859249.748329368,59112895.1206113,password,5
44,44,6236.359477043152,3566.101051926873,7812.5,12.367963791004575,19.669532775878903,-17578.125,2301.0513152650083,1786.6233770339743,-2441.0479469489032,5270005.00520237,1812725.4923809213,66570385.06365655,password,5
45,45,6236.359477043152,3566.101051926873,7812.5,12.367963791004575,19.669532775878903,-17578.125,2623.852786456927,1889.446785364045,-3026.9854469489032,5391363.610310536,1625346.5150995872,66825164.75512934,password,5
46,46,6236.359477043152,3566.101051926873,7812.5,35.804962888710904,267.71149729358785,-17578.125,2869.630538928296,1917.1439659740904,-3417.610446948903,4569108.712347264,1517934.390424844,62332610.113680616,password,5
47,47,6236.359477043152,3566.101051926873,7812.5,150.58162179282317,207.04771343030427,-17578.125,2919.7041295264285,1806.6048916424493,-3764.951772495641,4278849.419943107,1788664.5649285554,56081955.31385999,password,5
48,48,6236.359477043152,3566.101051926873,7812.5,536.5408688700304,207.04771343030427,-17578.125,3124.572593054417,1813.52295699463,-3286.694174683525,3437880.574581508,1765485.0166059602,63923287.639285564,password,5
49,49,6236.359477043152,3566.101051926873,8324.661810613943,536.5408688700304,207.04771343030427,-17578.125,3381.3459992037388,1748.0384008451365,-3235.477993622131,2715247.1666094624,1718970.2109632152,65212759.36350218,password,5
50,50,6236.359477043152,3566.101051926873,8324.661810613943,536.5408688700304,207.04771343030427,-17578.125,3275.808127070937,1853.361063238413,-2265.2282825928187,2929417.2209073063,1630004.5078971577,72628207.11496262,password,5
