,X_Coordinate,Y_Coordinate,Distance(median),Distance(direct),Date
0,316.4371681213379,271.1397457122803,1327,1336,2022-12-19 14:52:23.918
1,316.48229598999023,271.35157585144043,1325,1325,2022-12-19 14:52:23.950
2,316.26312255859375,271.59974098205566,1327.0,1325,2022-12-19 14:52:23.981
3,316.4663314819336,271.7160701751709,1325.0,1327,2022-12-19 14:52:24.018
4,316.514835357666,272.06053733825684,1322,1325,2022-12-19 14:52:24.049
5,316.4449691772461,271.8097114562988,1313.0,1313,2022-12-19 14:52:24.081
6,316.58700942993164,272.3828315734863,1322.0,1325,2022-12-19 14:52:24.118
7,316.0940933227539,271.78173065185547,1313,1325,2022-12-19 14:52:24.150
8,316.43009185791016,272.3191165924072,1322.0,1327,2022-12-19 14:52:24.181
9,316.4519500732422,272.78672218322754,1302,1302,2022-12-19 14:52:24.218
10,316.2610626220703,272.37951278686523,1322,1325,2022-12-19 14:52:24.250
11,316.6077995300293,273.04633140563965,1319,1322,2022-12-19 14:52:24.281
12,316.6101837158203,273.3175277709961,1325,1327,2022-12-19 14:52:24.318
13,316.61218643188477,273.9818000793457,1313.0,1313,2022-12-19 14:52:24.350
14,316.6945457458496,274.63568687438965,1307,1310,2022-12-19 14:52:24.381
15,317.1649932861328,275.5389976501465,1322.0,1327,2022-12-19 14:52:24.418
16,317.1484375,276.37627601623535,1316.0,1322,2022-12-19 14:52:24.450
17,317.42666244506836,276.47046089172363,1327.0,1327,2022-12-19 14:52:24.481
18,317.36352920532227,277.4706745147705,1322,1322,2022-12-19 14:52:24.519
19,317.4345588684082,277.8119373321533,1316.0,1322,2022-12-19 14:52:24.550
20,318.07849884033203,278.72408866882324,1319.0,1327,2022-12-19 14:52:24.581
21,319.05691146850586,279.1032600402832,1322,1325,2022-12-19 14:52:24.619
22,321.19884490966797,280.5988311767578,1305,1302,2022-12-19 14:52:24.650
23,323.34049224853516,281.8110466003418,1316,1299,2022-12-19 14:52:24.682
24,325.85933685302734,282.8507709503174,1319,1313,2022-12-19 14:52:24.719
25,328.1003189086914,284.5950508117676,1325.0,1325,2022-12-19 14:52:24.750
26,330.8517837524414,286.7127227783203,1316,1319,2022-12-19 14:52:24.782
27,334.5389938354492,288.45691680908203,1330.0,1333,2022-12-19 14:52:24.819
