,X_Max,Y_Max,Dist_Max,X_Min,Y_Min,Dist_Min,X_Mean,Y_Mean,Dist_Mean,X_Var,Y_Var,Dist_Var,Answer
0,677.4521930725494,1309.0445273376527,436004.1623309052,5.521272358141448,62.17375356412608,-303871.43900657404,320.0233476164327,688.1434402197817,68302.49890076567,71092.96602850947,133047.31304384329,73039089315.99155,password
1,677.4521930725494,1309.0445273376527,436004.1623309052,5.521272358141448,62.17375356412608,-303871.43900657404,337.4747208574304,659.7207493671716,68649.8402263124,75354.54046552398,143138.42802467875,72982755987.49506,password
2,1109.6362888997905,1309.0445273376527,436004.1623309052,6.994076067727353,129.981542104985,-432882.414151925,447.88622251159524,666.5015282212576,25500.102966244554,115813.8069339451,134594.14201343927,98317280349.71634,password
3,1109.6362888997905,1043.0080957640964,436004.1623309052,6.994076067727353,7.116794586181641,-432882.414151925,526.9892745695097,536.3087549461104,24750.102966244554,123358.77930867106,118196.9352475248,98365405521.32674,password
4,1109.6362888997905,3720.573757005773,436004.1623309052,6.994076067727353,7.116794586181641,-432882.414151925,526.9647108933355,811.6034169156703,1688.704651241086,123356.75058032319,1139934.3293905833,82767904680.47937,password
5,1109.6362888997905,3720.573757005773,436004.1623309052,6.994076067727353,7.116794586181641,-432882.414151925,477.30077515541643,867.2226398155535,25623.552296670456,131413.3698338809,1120366.638041866,73378510387.62898,password
6,1109.6362888997905,6355.031331380207,436004.1623309052,6.994076067727353,7.116794586181641,-432882.414151925,501.8967293368066,1428.7619288844894,20082.102418071772,147740.17887209432,4114422.5020047333,73975495847.90741,password
7,1109.6362888997905,6355.031331380207,436004.1623309052,6.994076067727353,7.116794586181641,-432882.414151925,523.4363578425134,1565.224900452597,-18199.147581928228,131146.6422300568,4027488.1484342646,56942007164.72255,password
8,1109.6362888997905,6355.031331380207,436004.1623309052,180.81283569335935,7.116794586181641,-432882.414151925,601.6585504214944,1588.995006387158,13210.640584616685,102562.09496887604,3970561.6338641387,46867963627.61789,password
9,1109.6362888997905,6355.031331380207,436004.1623309052,180.81283569335935,7.116794586181641,-432882.414151925,636.0767362008635,1541.8364246988556,10686.00804039192,105576.25881715478,4050018.6595223546,46929923224.549324,password
10,1321.3698499284596,6355.031331380207,202268.4310018903,180.81283569335935,7.116794586181641,-432882.414151925,743.2177288090559,1664.625218161476,-31873.825466371858,128437.20725816682,3996212.238002692,24817828985.765373,password
11,1515.8475620891156,6355.031331380207,202268.4310018903,180.81283569335935,7.116794586181641,-432882.414151925,842.2130262459475,1629.5558722755627,-31012.44900418683,178629.07642210674,4109243.4995307242,24880958187.936417,password
12,1515.8475620891156,6355.031331380207,430801.2486992715,180.81283569335935,7.116794586181641,-53333.33333333332,768.5905598718213,1722.0970141626756,55355.917280932816,189079.8405002189,3886499.1937071257,22345122138.057636,password
13,1515.8475620891156,6355.031331380207,430801.2486992715,180.81283569335935,21.358403609215205,-53333.33333333332,764.4899093228681,1935.4256140924851,55324.667280932816,187814.73310078649,3528580.488854873,22349496897.93826,password
14,1515.8475620891156,6355.031331380207,430801.2486992715,13.375125547928182,21.358403609215205,-53333.33333333332,709.4254281856271,1576.814419294226,36266.560484615235,242666.31507201627,3391991.2493744963,19758344706.6548,password
15,1515.8475620891156,6355.031331380207,430801.2486992715,13.375125547928182,21.358403609215205,-53333.33333333332,741.9373121597024,1526.1686446913359,40586.56048461523,215045.00490224524,3487152.1983568384,19182089726.0025,password
16,1515.8475620891156,2140.4027938842773,430801.2486992715,13.375125547928182,21.358403609215205,-12486.992715920913,661.46656223332,1024.743585997672,44671.19454635647,249516.33079018618,620728.0796682569,18496424530.48828,password
17,1515.8475620891156,2140.4027938842773,430801.2486992715,13.375125547928182,21.358403609215205,-12486.992715920913,652.1309820241983,877.457207970888,46032.10465409935,258432.42385877675,553597.7473271019,18409382310.563725,password
18,1515.8475620891156,2293.7916219234467,430801.2486992715,13.375125547928182,21.358403609215205,-15625.0,683.6977668005374,1045.0098523183185,43446.96038821184,278013.3391302434,737829.2781827209,18681907134.414364,password
19,1515.8475620891156,2293.7916219234467,430801.2486992715,13.375125547928182,21.358403609215205,-33298.64724245577,665.0385281018459,1120.0879690927536,41288.97066396626,275413.3663421206,715183.0407190272,18993025300.132675,password
20,1515.8475620891156,2293.7916219234467,430801.2486992715,13.375125547928182,21.358403609215205,-33298.64724245577,589.4253809710914,1034.1480988469962,42001.492393446686,222304.00919051774,617179.8788499901,18949202370.62103,password
21,1104.8838496209303,2293.7916219234467,430801.2486992715,13.375125547928182,134.46180902318065,-33298.64724245577,500.0827750688815,1217.917282895369,41026.49924151096,118193.9729807306,541292.0402270432,19037049860.398083,password
22,1104.8838496209303,2293.7916219234467,23374.72607742877,13.375125547928182,134.46180902318065,-33298.64724245577,521.0338387192131,1210.9805675242142,-3302.324900008286,116685.8984961274,544278.5203441001,291371194.72260123,password
23,1104.8838496209303,2293.7916219234467,23374.72607742877,13.375125547928182,134.46180902318065,-33298.64724245577,445.83241476181684,1106.626043308051,-1136.0333487617488,112436.52370746959,437645.15597073693,316587487.3198346,password
24,1104.8838496209303,2293.7916219234467,23374.72607742877,106.58129196881502,419.7699558657353,-33298.64724245577,463.2428888725255,1212.0269343441437,-1056.0703810410962,98736.02215540915,321034.24200043513,318930087.7072369,password
25,1529.4911586035053,2293.7916219234467,23374.72607742877,106.58129196881502,419.7699558657353,-33298.64724245577,565.5988371894648,1229.6840777055063,-3553.468924225279,213213.3153384767,294358.80059018056,375439130.02863944,password
26,1529.4911586035053,2293.7916219234467,23374.72607742877,132.85396501958536,419.7699558657353,-33298.64724245577,647.0614201460523,1161.9246737294663,-1473.7447218852653,196479.82876680727,323543.62681340455,377404400.6249169,password
27,1529.4911586035053,2293.7916219234467,17531.04455807158,132.85396501958536,629.3059635857016,-33298.64724245577,664.9910357441981,1219.3421757314645,-3811.2173296281435,181098.73375734108,261816.49995549236,302969694.01618797,password
28,1529.4911586035053,1859.0502440929413,17531.04455807158,30.485822060353794,209.1136856952393,-33298.64724245577,557.5512329881406,1010.8743821086437,-3081.183510689537,191505.18557167283,198653.364386486,289133719.16421264,password
29,1529.4911586035053,1859.0502440929413,17531.04455807158,30.485822060353794,209.1136856952393,-304709.14127423824,594.4560767421469,939.884683722179,-30222.232913867785,212196.12277790546,199935.05629208407,9478018626.183199,password
30,1975.1081357513328,1859.0502440929413,449531.7377731529,30.485822060353794,209.1136856952393,-304709.14127423824,735.4430524551889,922.6193286218204,12977.836407640349,401815.36288409465,194448.2821949077,32724800513.607597,password
31,1975.1081357513328,2519.3078460852134,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,734.1646072530333,988.6450888210477,-30752.246188613546,402152.8001222338,375439.09911163076,53488762848.28925,password
32,1975.1081357513328,2519.3078460852134,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,731.6293066327502,1123.1802147349454,-31719.613399015914,403069.17719812016,555653.021549414,53458855936.377594,password
33,1975.1081357513328,4902.263089595798,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,914.8623466857313,1503.7207685222606,-33104.654950262455,495000.5887519326,1981504.5061839633,53337780707.28904,password
34,1975.1081357513328,5049.426108598598,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,1073.9112900949215,1889.81630744371,-34743.97922185455,490878.66407385975,3201720.7410077197,53198566782.18324,password
35,2520.2916258873943,5049.426108598598,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,1172.9913368233103,2255.320240469764,-32830.94883060608,689355.8310271766,3513826.4620270245,53276697623.94521,password
36,4017.658213795037,5049.426108598598,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,1482.6364460493448,2689.4811183336687,-33766.03203398668,1474903.9880489036,3862689.5994277694,53199951555.815704,password
37,4017.658213795037,5049.426108598598,449531.7377731529,30.485822060353794,209.1136856952393,-441207.07596253895,1817.7078912740296,2921.479132470534,-33863.68828398668,1761444.049690064,3526784.7896284685,53192719225.3233,password
38,4017.658213795037,5049.426108598598,449531.7377731529,557.5692554590114,612.3064627607773,-441207.07596253895,1873.8804639155674,3264.463132790531,-32300.761913005634,1569902.3810629412,2635836.2537952648,53305847986.98865,password
39,4017.658213795037,5049.426108598598,449531.7377731529,32.11332037347164,987.9311711433401,-441207.07596253895,1775.8094701448838,3458.962090356277,-1829.8477855818105,1853736.5478539073,1867819.7929106015,44144986653.248535,password
40,4017.658213795037,5049.426108598598,7304.601899196491,32.11332037347164,1006.8342089651906,-441207.07596253895,1759.3514903652976,3460.852394138462,-47368.9590628971,1849156.1912633837,1857475.5274111922,19206192165.71518,password
41,4017.658213795037,5049.426108598598,7304.601899196491,32.11332037347164,881.7551517416077,-22160.6648199446,1869.742648920072,3297.0971247041016,-3540.435542611064,1688977.5835481044,2468262.034866199,57046528.23981056,password
42,4017.658213795037,5049.426108598598,7304.601899196491,32.11332037347164,881.7551517416077,-5859.375,2109.174001333994,3264.728350763904,-1519.681560616604,1564083.641629153,2548204.2418115474,14265656.002116185,password
43,4017.658213795037,5049.426108598598,7304.601899196491,32.11332037347164,881.7551517416077,-8324.661810613943,2241.160145019771,3071.6733100094407,-2352.1477416779985,1696054.5367508468,2218385.9833251988,18384358.750012442,password
44,4017.658213795037,5004.795483322222,7304.601899196491,32.11332037347164,881.7551517416077,-8324.661810613943,2218.064511257406,2704.8166641238545,-2654.0435173012675,1725161.255520603,1951886.7294488673,20338384.69156862,password
45,4017.658213795037,5004.795483322222,7304.601899196491,32.11332037347164,881.7551517416077,-8324.661810613943,2311.509575954697,2536.3333104249587,-2277.791910630896,1875240.2395275773,1644365.8435205861,19087134.244632497,password
46,3710.351884365082,3638.953688895209,7304.601899196491,32.11332037347164,881.7551517416077,-8324.661810613943,2224.9862083180387,2196.398531665651,-2173.7336379982216,1622054.8913669204,935219.8424674238,19481508.487007614,password
47,3454.742272860301,3638.953688895209,7304.601899196491,32.11332037347164,184.65882193018524,-8324.661810613943,2107.911056056273,1883.4719021332319,-2076.0773879982216,1372677.6648322812,1137330.9797478414,19836678.68297077,password
48,3454.742272860301,2971.712682051167,0.0,32.11332037347164,184.65882193018524,-8324.661810613943,2362.7454720353935,1598.3573753688165,-3014.65412318322,1163744.796475082,837982.0048550478,9080414.14084774,password
49,3454.742272860301,2971.712682051167,2081.1654526534858,1547.0129631232687,184.65882193018524,-8324.661810613943,2554.5798890550186,1472.6986275637958,-2806.537577917871,538203.7651159896,728107.5880307275,10907759.99672809,password
50,3454.742272860301,2971.712682051167,4155.124653739612,1215.0497647864006,184.65882193018524,-8324.661810613943,2495.032031738111,1409.1569907434919,-1805.0876125439104,672122.5173403356,834264.7345600828,14142860.482344326,password
51,3454.742272860301,2971.712682051167,4155.124653739612,1215.0497647864006,184.65882193018524,-8324.661810613943,2499.8121806389495,1573.775628185421,-1721.0200818413991,664049.6667036432,912323.9766683276,14004905.802897675,password
52,3454.742272860301,2971.712682051167,4155.124653739612,1166.8354272842407,184.65882193018524,-8324.661810613943,2321.3074454075504,1480.3565233708916,-1330.3950818413991,803362.9770970135,909515.6474225498,15329304.745468335,password
53,3454.742272860301,4651.6596792038545,4155.124653739612,1166.8354272842407,184.65882193018524,-6925.207756232687,2146.864806086586,1648.3512230861604,-936.2050147317941,734071.848763294,1748493.2388490262,10756339.566219695,password
54,3454.742272860301,4880.670458078384,4155.124653739612,1166.8354272842407,184.65882193018524,-4382.761139517895,2231.8561381578957,1998.332303919725,-438.99673910852545,693013.3203050006,2765323.052813102,6611207.535691922,password
55,4331.884473469205,7036.746974790138,4155.124653739612,1166.8354272842407,184.65882193018524,-6243.496357960456,2319.570358218786,2442.055825713011,-855.2298296392225,1008316.7277110112,5327023.055377718,9862651.745134026,password
56,4331.884473469205,7036.746974790138,4155.124653739612,1166.8354272842407,184.65882193018524,-6243.496357960456,2382.896981732584,2869.2531404213714,-439.7173642652614,1165623.4358313812,6357783.519890737,12378843.73388938,password
57,9067.82517448052,11088.860518726304,4162.3309053069715,1166.8354272842407,371.41784076215157,-6243.496357960456,3035.719463005894,3959.6733101009836,-23.484273734564248,5654727.554979127,11742754.33479836,14518065.629279273,password
58,9067.82517448052,11123.037983302016,10405.827263267429,1166.8354272842407,371.41784076215157,-6243.496357960456,3535.853664135089,4993.196266306079,1225.2149978575274,8272585.728088323,15139573.174589068,24400731.028503664,password
59,9067.82517448052,11123.037983302016,10405.827263267429,1166.8354272842407,371.41784076215157,-6243.496357960456,4104.317987738696,5686.117285999661,1709.6192282154473,9501344.459190305,14255185.577910759,27668596.770790033,password
60,12277.370933191336,13142.128268588338,10405.827263267429,1166.8354272842407,1073.4982788562775,-6243.496357960456,5210.550104579188,6963.18832878228,1710.3398533721834,14636169.861603217,15481515.033037003,27672518.169864133,password
61,12277.370933191336,13142.128268588338,10405.827263267429,1166.8354272842407,1073.4982788562775,-6243.496357960456,6052.673304899498,7876.86985127472,2542.8060344335777,15273103.98491073,14824314.164591739,27588517.72357088,password
62,12277.370933191336,13142.128268588338,10405.827263267429,1540.6194091975206,4651.6596792038545,-6243.496357960456,6727.869664426903,8565.661079861999,2624.501844682885,12501116.450308166,9155086.25504199,27548205.400145557,password
63,12277.370933191336,13142.128268588338,10405.827263267429,2396.9262838363647,4880.670458078384,-6243.496357960456,7329.463129303927,9232.86477362012,3062.7779586346746,9185561.521851886,7803502.4071455365,22644362.720410746,password
64,12277.370933191336,13142.128268588338,10405.827263267429,3785.6907725664387,5877.420842812741,-6243.496357960456,8273.980682156558,9695.936984170428,3844.0279586346746,7753656.419126977,5469238.368001919,20039713.486669987,password
65,12277.370933191336,13142.128268588338,10405.827263267429,3785.6907725664387,5877.420842812741,-1385.0415512465374,8699.511233684292,9663.905255881004,4329.873439306066,5836680.313388355,5668784.132730495,11509109.352268113,password
66,12277.370933191336,13142.128268588338,10405.827263267429,7556.554057967774,6716.429691895884,-1385.0415512465374,9298.250923946833,10031.667431231217,4538.710609728151,2883573.945021991,3926772.6540700165,11864141.118850712,password
67,12277.370933191336,13142.128268588338,10405.827263267429,7069.336636133421,6716.429691895884,-4162.3309053069715,9098.402070112124,9785.681977350692,3706.244428666757,3385303.6375343455,3953963.041574016,19490414.71200128,password
68,12277.370933191336,13142.128268588338,6925.207756232687,4821.946416204986,4986.798664209176,-4162.3309053069715,8766.406939776734,9172.05804544141,3358.182477963282,5193188.606594671,5895676.004726898,15519952.88214164,password
69,12277.370933191336,13142.128268588338,6925.207756232687,4821.946416204986,4454.562120705622,-16649.323621227886,8794.813729230813,8794.522381781588,1000.7293402172247,5129843.002564131,8111432.625648654,52408928.216216266,password
