,X_Coordinate,Y_Coordinate,Distance(median),Distance(direct),Date
0,359.3886947631836,231.76561832427979,652,643,2022-12-19 15:45:42.726
1,359.11548614501953,232.2395896911621,654,644,2022-12-19 15:45:42.758
2,360.14076232910156,232.2946071624756,654,645,2022-12-19 15:45:42.789
3,360.19176483154297,232.5014305114746,654,647,2022-12-19 15:45:42.827
4,360.1055908203125,233.60718727111816,655,648,2022-12-19 15:45:42.858
5,360.36373138427734,234.12217140197754,655,646,2022-12-19 15:45:42.889
6,360.4393005371094,235.11703491210938,656,648,2022-12-19 15:45:42.927
7,359.78736877441406,236.1328411102295,657,652,2022-12-19 15:45:42.959
8,360.1321792602539,237.06507682800293,657,652,2022-12-19 15:45:42.990
9,359.5957946777344,238.95727157592773,658,655,2022-12-19 15:45:43.028
10,359.2021179199219,240.14164924621582,660,660,2022-12-19 15:45:43.059
11,359.11190032958984,240.89919090270996,659,659,2022-12-19 15:45:43.090
12,358.55743408203125,242.68438339233398,661,662,2022-12-19 15:45:43.128
13,358.10436248779297,244.14319038391113,661,661,2022-12-19 15:45:43.159
14,357.6074981689453,245.71423530578613,662,662,2022-12-19 15:45:43.191
15,356.56078338623047,246.8818473815918,663,665,2022-12-19 15:45:43.228
16,355.7215118408203,249.35943603515625,668,668,2022-12-19 15:45:43.260
17,355.17017364501953,250.7900905609131,668,668,2022-12-19 15:45:43.291
18,354.3082046508789,251.88039779663086,670,670,2022-12-19 15:45:43.329
19,354.2350769042969,253.58774185180664,673,675,2022-12-19 15:45:43.360
20,353.4881591796875,254.481782913208,674,675,2022-12-19 15:45:43.391
21,353.02799224853516,255.5731201171875,676,676,2022-12-19 15:45:43.428
22,352.5889205932617,256.9606590270996,680,679,2022-12-19 15:45:43.460
23,351.67171478271484,258.2325553894043,683,681,2022-12-19 15:45:43.491
24,351.2537384033203,259.5927429199219,685,684,2022-12-19 15:45:43.529
25,350.37925720214844,260.71163177490234,687.0,687,2022-12-19 15:45:43.560
26,350.0193405151367,262.2289180755615,691.0,691,2022-12-19 15:45:43.591
27,349.5716094970703,264.1486072540283,696.0,696,2022-12-19 15:45:43.629
28,348.7609100341797,265.6076431274414,699,703,2022-12-19 15:45:43.660
29,348.3699035644531,267.81432151794434,705,710,2022-12-19 15:45:43.691
30,347.5798797607422,269.3270015716553,712,717,2022-12-19 15:45:43.730
31,346.2752914428711,270.94934463500977,717.0,724,2022-12-19 15:45:43.761
32,345.1308059692383,272.3026371002197,720.0,727,2022-12-19 15:45:43.792
33,343.5862731933594,273.5350513458252,724,728,2022-12-19 15:45:43.830
34,341.98596954345703,274.14942741394043,732.0,732,2022-12-19 15:45:43.861
35,340.6898880004883,275.472936630249,766,0,2022-12-19 15:45:43.892
36,338.4696960449219,275.92002868652344,1283,1319,2022-12-19 15:45:43.930
37,336.43787384033203,277.02635765075684,1305.0,1313,2022-12-19 15:45:43.961
38,334.4218063354492,278.5571479797363,1299,1291,2022-12-19 15:45:43.992
39,332.44659423828125,280.32471656799316,1316.0,1302,2022-12-19 15:45:44.030
40,330.6951141357422,281.6673946380615,1316.0,1307,2022-12-19 15:45:44.061
41,329.64027404785156,283.56651306152344,1325,1310,2022-12-19 15:45:44.093
42,327.5872802734375,285.15978813171387,1327,1327,2022-12-19 15:45:44.115
43,325.91880798339844,287.0516109466553,1339,1336,2022-12-19 15:45:44.162
44,324.1413116455078,287.6077651977539,1342,1342,2022-12-19 15:45:44.193
45,322.97306060791016,288.6536407470703,1342.0,1339,2022-12-19 15:45:44.231
46,322.66895294189453,289.590425491333,1348,1342,2022-12-19 15:45:44.262
47,321.7841339111328,289.67451095581055,1342.0,1345,2022-12-19 15:45:44.293
48,322.18360900878906,289.36108589172363,1342,1339,2022-12-19 15:45:44.316
49,322.75306701660156,288.5475540161133,1339.0,1333,2022-12-19 15:45:44.363
50,323.6690139770508,287.2481060028076,1342.0,1339,2022-12-19 15:45:44.394
51,325.1774215698242,285.37779808044434,1342,1336,2022-12-19 15:45:44.416
52,326.4888381958008,282.87363052368164,1330.0,1316,2022-12-19 15:45:44.463
53,328.2209014892578,281.2942600250244,1327,1316,2022-12-19 15:45:44.494
54,329.647216796875,279.2573833465576,1319.0,1307,2022-12-19 15:45:44.516
55,331.33960723876953,277.06335067749023,1313.0,1307,2022-12-19 15:45:44.563
56,332.7779769897461,275.70759773254395,1307.0,1307,2022-12-19 15:45:44.594
57,334.984130859375,274.12851333618164,1277,1274,2022-12-19 15:45:44.617
58,336.89929962158203,272.12390899658203,742,0,2022-12-19 15:45:44.664
59,338.3631134033203,270.9206485748291,731.0,739,2022-12-19 15:45:44.695
60,339.81128692626953,269.07800674438477,723,733,2022-12-19 15:45:44.717
61,340.4734420776367,267.4200439453125,715.0,725,2022-12-19 15:45:44.764
62,341.4854431152344,266.1734676361084,711.0,719,2022-12-19 15:45:44.795
63,341.8428039550781,264.70736503601074,707,712,2022-12-19 15:45:44.818
64,342.6692581176758,262.93627738952637,701,705,2022-12-19 15:45:44.849
65,344.2490005493164,260.8416938781738,693.0,695,2022-12-19 15:45:44.896
66,345.8612823486328,258.9389133453369,688,687,2022-12-19 15:45:44.918
67,348.27342987060547,255.47515869140625,679.0,677,2022-12-19 15:45:44.965
68,352.02884674072266,252.43569374084473,671.0,671,2022-12-19 15:45:44.996
69,355.9294128417969,248.69221687316895,663,664,2022-12-19 15:45:45.018
70,360.2368927001953,244.26921844482422,658,659,2022-12-19 15:45:45.050
71,366.1349105834961,240.08983612060547,652,652,2022-12-19 15:45:45.097
72,372.1073913574219,236.0937738418579,648,647,2022-12-19 15:45:45.119
73,377.69649505615234,230.87649822235107,643,644,2022-12-19 15:45:45.150
74,384.09778594970703,227.08751678466797,643,641,2022-12-19 15:45:45.197
75,389.8427963256836,223.03231716156006,643,643,2022-12-19 15:45:45.219
76,395.430908203125,219.03139114379883,642,641,2022-12-19 15:45:45.250
77,401.4663314819336,215.23329734802246,646,644,2022-12-19 15:45:45.297
78,406.6428756713867,211.91370964050293,648,648,2022-12-19 15:45:45.319
79,411.99390411376953,209.3162441253662,657,656,2022-12-19 15:45:45.351
80,417.00653076171875,207.83469200134277,670,670,2022-12-19 15:45:45.398
81,420.53192138671875,207.11291313171387,677,674,2022-12-19 15:45:45.420
82,422.27893829345703,207.6249361038208,682,680,2022-12-19 15:45:45.451
83,422.4925231933594,209.68528747558594,687,689,2022-12-19 15:45:45.498
84,420.89542388916016,212.62242794036865,680,677,2022-12-19 15:45:45.520
85,417.9326629638672,215.4072904586792,677,678,2022-12-19 15:45:45.552
86,414.2304229736328,218.50647926330566,671,670,2022-12-19 15:45:45.598
87,409.6352005004883,222.6948881149292,662,662,2022-12-19 15:45:45.620
88,405.5160903930664,226.869535446167,662,662,2022-12-19 15:45:45.652
89,399.7772979736328,230.78407287597656,654,652,2022-12-19 15:45:45.698
90,394.47498321533203,235.50757884979248,652,649,2022-12-19 15:45:45.720
91,389.2864227294922,240.2937126159668,653,650,2022-12-19 15:45:45.752
92,383.71570587158203,245.3378677368164,654,652,2022-12-19 15:45:45.783
93,378.96053314208984,249.43385124206543,656,654,2022-12-19 15:45:45.821
94,373.3823013305664,254.2240333557129,660,659,2022-12-19 15:45:45.852
95,369.7459030151367,259.29104804992676,667,665,2022-12-19 15:45:45.884
96,365.5224609375,263.7399673461914,676.0,676,2022-12-19 15:45:45.921
97,362.4254608154297,265.5863285064697,680,682,2022-12-19 15:45:45.952
98,359.6483612060547,268.81696701049805,685,685,2022-12-19 15:45:45.984
99,356.60606384277344,271.47714614868164,693,692,2022-12-19 15:45:46.021
100,353.51783752441406,273.59521865844727,697,697,2022-12-19 15:45:46.053
101,350.86875915527344,274.99048233032227,703,705,2022-12-19 15:45:46.084
102,348.44635009765625,276.2398910522461,710.0,715,2022-12-19 15:45:46.122
103,345.54874420166016,276.75158500671387,717,724,2022-12-19 15:45:46.153
104,342.76641845703125,277.4343681335449,723.0,734,2022-12-19 15:45:46.184
105,340.1568603515625,278.4635066986084,731.0,739,2022-12-19 15:45:46.222
